Creation,Acquisition,CreationQuantity,AcquisitionQuantity,TotalCreation,TotalAcquisition
1904,1904,2,2,3,2
1904,1905,1,1,3,1
1902,1906,1,1,1,1
1905,1907,1,1,1,2
1906,1907,1,1,2,2
1910,1911,1,1,6,2
1911,1911,1,1,4,2
1907,1912,1,1,1,2
1911,1912,1,1,4,2
1911,1913,1,1,4,5
1912,1913,2,2,9,5
1913,1913,2,2,9,5
1910,1916,1,1,6,4
1912,1916,1,1,9,4
1913,1916,1,1,9,4
1914,1916,1,1,5,4
1915,1919,1,1,2,1
1913,1920,1,1,9,2
1923,1920,1,1,29,2
1921,1921,1,1,3,3
1920,1922,1,1,9,3
1922,1922,2,2,9,3
1923,1923,1,1,29,6
1922,1924,1,1,9,1
1925,1925,1,1,20,1
1913,1926,2,2,9,2
1930,1930,1,1,86,1
1900,1931,1,1,5,5
1909,1931,2,2,5,5
1930,1931,1,1,86,5
1931,1931,1,1,13,5
1932,1932,2,2,27,2
1933,1933,3,3,18,3
1934,1934,3,3,13,3
1937,1937,10,10,38,10
1909,1938,2,2,5,4
1914,1938,1,1,5,4
1937,1938,1,1,38,4
1937,1941,1,1,38,1
1925,1942,1,1,20,4
1940,1942,1,1,10,4
1942,1942,1,1,7,4
1943,1942,1,1,3,4
1937,1947,1,1,38,1
1949,1949,1,1,15,1
1950,1950,1,1,76,1
1910,1952,1,1,6,5
1937,1953,1,1,38,5
1938,1953,1,1,44,5
1950,1953,3,3,76,5
1911,1957,1,1,4,54
1912,1957,2,2,9,54
1913,1957,2,2,9,54
1914,1957,1,1,5,54
1915,1957,1,1,2,54
1919,1957,4,4,5,54
1920,1957,6,6,16,54
1925,1957,1,1,20,54
1926,1957,2,2,13,54
1928,1957,1,1,65,54
1929,1957,1,1,33,54
1930,1957,8,8,86,54
1931,1957,1,1,13,54
1932,1957,4,4,27,54
1937,1957,2,2,38,54
1938,1957,8,8,44,54
1939,1957,9,9,18,54
1961,1961,1,1,43,1
1962,1962,3,3,51,3
1916,1963,1,1,1,5
1918,1963,1,1,1,5
1920,1963,1,1,16,5
1928,1963,1,1,65,5
1930,1963,1,1,86,5
1964,1964,1,1,116,1
1965,1965,3,3,103,3
1966,1966,5,5,64,5
1925,1967,1,1,20,6
1967,1967,5,5,157,6
1968,1968,8,8,198,8
1970,1970,1,1,247,1
1924,1972,1,1,9,1
1974,1974,2,2,98,2
1967,1976,1,1,157,15
1969,1976,2,2,120,15
1970,1976,1,1,247,15
1972,1976,3,3,168,15
1973,1976,1,1,123,15
1974,1976,4,4,98,15
1975,1976,3,3,120,15
1908,1977,1,1,2,4
1929,1977,1,1,33,4
1975,1977,2,2,120,4
1947,1978,1,1,18,73
1952,1978,1,1,34,73
1953,1978,1,1,52,73
1955,1978,4,4,40,73
1959,1978,3,3,55,73
1961,1978,1,1,43,73
1962,1978,2,2,51,73
1963,1978,5,5,91,73
1964,1978,3,3,116,73
1965,1978,5,5,103,73
1966,1978,2,2,64,73
1967,1978,8,8,157,73
1968,1978,3,3,198,73
1969,1978,1,1,120,73
1970,1978,8,8,247,73
1971,1978,8,8,90,73
1972,1978,6,6,168,73
1973,1978,5,5,123,73
1978,1978,6,6,75,73
1899,1981,3,3,28,17
1912,1981,3,3,9,17
1913,1981,1,1,9,17
1925,1981,1,1,20,17
1926,1981,7,7,13,17
1929,1981,1,1,33,17
1933,1981,1,1,18,17
1968,1984,1,1,198,1
1982,1988,1,1,128,1
1948,1991,1,1,17,155
1950,1991,4,4,76,155
1951,1991,1,1,15,155
1952,1991,1,1,34,155
1955,1991,1,1,40,155
1956,1991,1,1,47,155
1957,1991,1,1,39,155
1958,1991,6,6,50,155
1959,1991,2,2,55,155
1961,1991,10,10,43,155
1962,1991,11,11,51,155
1963,1991,9,9,91,155
1965,1991,2,2,103,155
1966,1991,2,2,64,155
1967,1991,5,5,157,155
1968,1991,4,4,198,155
1970,1991,6,6,247,155
1971,1991,3,3,90,155
1972,1991,11,11,168,155
1973,1991,2,2,123,155
1974,1991,2,2,98,155
1975,1991,2,2,120,155
1976,1991,4,4,76,155
1977,1991,2,2,102,155
1978,1991,6,6,75,155
1979,1991,5,5,105,155
1980,1991,12,12,140,155
1981,1991,5,5,92,155
