Group,Nom,Nationalite,DDN,Titre,TypeDesign,TypeDesignCode,DDC,Acquisition,Dimensions,MST,DCU,DAU,TypeAcquisition,Sexe,Image,No Capital Nationalité,flag,
1,,Française,"1841, Samer (Pas-de-Calais, France) - 1901, Le Lavandou (Var, France)",Vase vert strié,Design d'Objet,3,fin XIXe siècle,Acquisition,"hauteur: 20 cm
diamètre: 10 cm",Terre vernissée,1899,1899,Acquisition,Unknown,objet.png,française,france.png,
2,Inconnue,Inconnue,,Tabouret,Mobilier,1,4ème quart XIXe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 20,5 cm
diamètre: 22,5 cm","Bois sculpté, attache en métal",1899,2010,Donation,Unknown,mobilier.png,Inconnue,unknown.png,
3,Inconnue,Inconnue,,Table basse,Mobilier,1,XIXe siècle,Donation de M. Daniel Cordier en 2010,"21,5 x 114,5 x 48 cm",Bois sculpté,1899,2010,Donation,Unknown,mobilier.png,Inconnue,unknown.png,image/architecture
4,Inconnue,Inconnue,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 93,5 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,objet.png,Inconnue,unknown.png,
5,Inconnue,Inconnue,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 94,8 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,objet.png,Inconnue,unknown.png,
6,Inconnue,Inconnue,,Gouttière en imitation de tige de bambou,Design d'Objet,3,XVIIIe siècle,Donation de M. Daniel Cordier en 2010,"hauteur: 102,5 cm
diamètre: 12,5 cm",Terre cuite émaillée,1899,2010,Donation,Unknown,objet.png,Inconnue,unknown.png,
7,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Banc n°3,Mobilier,1,1859,Inscription à l'inventaire en 1993,97 x 130 x 60 cm,Bois et cannage,1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
8,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise Bistrot n°3,Mobilier,1,1859,Inscription à l'inventaire en 1993,,Bois et cannage,1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
9,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise n°14,Mobilier,1,1873,Inscription à l'inventaire en 1993,"hauteur: 91 cm
diamètre: 46 cm",Bois courbé et cannage,1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
10,,Autrichienne,"1796, Boppard-sur-le-Rhin (Autriche) - 1871, Vienne (Autriche)",Chaise n°31,Mobilier,1,avant 1885,Inscription à l'inventaire en 1993,,"Bois courbé, assise décor marguerite",1899,1993,Inscription,Unknown,mobilier.png,autrichienne,austria.png,
11,Inconnue,Inconnue,,Binocle,Design d'Objet,3,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,objet.png,Inconnue,unknown.png,
12,Inconnue,Inconnue,,Poêle N°1,Design d'Objet,3,vers 1850,Inscription à l'inventaire en 1993,"hauteur: 43 cm
diamètre: 22,5 cm",Fonte,1899,1993,Inscription,Unknown,objet.png,Inconnue,unknown.png,
13,Inconnue,Inconnue,,Fer à repasser,Design Industriel,4,vers 1810,Inscription à l'inventaire en 1993,18 x 16 x 11 cm,Fonte et bois,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
14,Inconnue,Inconnue,,Bouilloire n°2,Design Industriel,4,vers 1840,Inscription à l'inventaire en 1993,"25,5 x 28 cm
diamètre: 18 cm",Fonte,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
15,Inconnue,Inconnue,,Moulin à café,Design Industriel,4,vers 1855,Inscription à l'inventaire en 1993,"7,5 x 9,5 x 9,5 cm",Fer,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
16,Inconnue,Inconnue,,Accessoire Bouillotte,Design Industriel,4,vers 1860,Inscription à l'inventaire en 1993,"hauteur: 28,5 cm
diamètre: 7 cm",Cuivre,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
17,Inconnue,Inconnue,,Moulin à café,Design Industriel,4,vers 1880,Inscription à l'inventaire en 1993,29 x 30 x 17 cm,Fonte et bois,1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
18,Inconnue,Inconnue,,Machine à écrire Hammond 2 Ideal,Design Industriel,4,vers 1885,Inscription à l'inventaire en 1993,"largeur: 35 cm
profondeur: 35 cm","Acier laqué et chromé, bois",1899,1993,Inscription,Unknown,industrie.png,Inconnue,unknown.png,
19,Inconnue,Inconnue,,Lunettes Paire de lunettes,Design Vestimentaire ,6,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
20,Inconnue,Inconnue,,Lunettes,Design Vestimentaire ,6,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
21,Inconnue,Inconnue,,Paire de lunettes,Design Vestimentaire ,6,1800 - 1900,Inscription à l'inventaire en 1993,,,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
22,Inconnue,Inconnue,,Lunette d'approche repliable,Design Vestimentaire ,6,vers 1830,Inscription à l'inventaire en 1993,"hauteur: 7 cm
diamètre: 4,5 cm",Cuivre et or,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
23,Inconnue,Inconnue,,Lunette d'approche,Design Vestimentaire ,6,vers 1840,Inscription à l'inventaire en 1993,"hauteur: 10 cm
diamètre: 4,5 cm",Tortue et or,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
24,Inconnue,Inconnue,,Paire de lunettes de protection,Design Vestimentaire ,6,vers 1880,Inscription à l'inventaire en 1993,,Verres bleutés,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
25,Inconnue,Inconnue,,Paire de lunettes de protection,Design Vestimentaire ,6,vers 1880,Inscription à l'inventaire en 1993,,Verres noirs,1899,1993,Inscription,Unknown,vetement.png,Inconnue,unknown.png,
26,ANONYME,Inconnue,,Querelle de femmes,Design Graphique/ Illustration,2,[1880 - 1900],"Legs de Nina Kandinsky, 1981","35,3 x 44 cm",Reproduction d'une gravure,1899,1981,Legs,Unknown,graphic.png,inconnue,unknown.png,
